Date,Sector,Ticker,Close,Return
05-05-2020,SERVICES,ADANIPORTS,263.1,-1.220198986
05-05-2020,CONSUMER GOODS,ASIANPAINT,1619.15,-3.438096374
05-05-2020,FINANCIAL SERVICES,AXISBANK,389,-3.426017875
05-05-2020,AUTOMOBILE,BAJAJ-AUTO,2422.8,-0.792334623
05-05-2020,FINANCIAL SERVICES,BAJAJFINSV,4629.2,-2.795888584
05-05-2020,FINANCIAL SERVICES,BAJFINANCE,2002.35,-3.716971606
05-05-2020,TELECOM,BHARTIARTL,528.05,-0.835680751
05-05-2020,OIL & GAS,BPCL,347.05,-0.244323081
05-05-2020,CONSUMER GOODS,BRITANNIA,2978.75,-3.6922679
05-05-2020,PHARMA,CIPLA,596.9,-2.443409332
05-05-2020,METALS,COALINDIA,138,-3.021784961
05-05-2020,PHARMA,DRREDDY,3833.9,-2.668189896
05-05-2020,AUTOMOBILE,EICHERMOT,13810.95,0.452039451
05-05-2020,OIL & GAS,GAIL,91.1,-2.56684492
05-05-2020,CEMENT & CEMENT PRODUCTS,GRASIM,471.45,-1.586473228
05-05-2020,IT,HCLTECH,520.4,1.195916383
05-05-2020,FINANCIAL SERVICES,HDFC,1689.9,-1.997854264
05-05-2020,FINANCIAL SERVICES,HDFCBANK,911.45,-1.25135428
05-05-2020,AUTOMOBILE,HEROMOTOCO,1965.35,-1.766881591
05-05-2020,METALS,HINDALCO,115.9,0
05-05-2020,CONSUMER GOODS,HINDUNILVR,2041.5,-1.975848078
05-05-2020,FINANCIAL SERVICES,ICICIBANK,330.85,-2.129862446
05-05-2020,FINANCIAL SERVICES,INDUSINDBK,418.7,-1.028247252
05-05-2020,TELECOM,INFRATEL,170.6,1.246290801
05-05-2020,IT,INFY,673.7,0
05-05-2020,OIL & GAS,IOC,78.7,-1.31661442
05-05-2020,CONSUMER GOODS,ITC,173.9,-0.086182132
05-05-2020,METALS,JSWSTEEL,163.9,0.214001834
05-05-2020,FINANCIAL SERVICES,KOTAKBANK,1238.35,-3.087337612
05-05-2020,CONSTRUCTION,LT,836.9,-1.61641098
05-05-2020,AUTOMOBILE,M&M,368.15,3.10880829
05-05-2020,AUTOMOBILE,MARUTI,4829.85,-1.155270859
05-05-2020,CONSUMER GOODS,NESTLEIND,17421.5,-0.200212529
05-05-2020,POWER,NTPC,92.6,1.257517769
05-05-2020,OIL & GAS,ONGC,78.45,2.482037884
05-05-2020,POWER,POWERGRID,163.65,2.892172273
05-05-2020,OIL & GAS,RELIANCE,1460.65,1.773272018
05-05-2020,FINANCIAL SERVICES,SBIN,170.4,-4.724629578
05-05-2020,CEMENT & CEMENT PRODUCTS,SHREECEM,18512,-0.606711409
05-05-2020,PHARMA,SUNPHARMA,456.3,-1.96583951
05-05-2020,AUTOMOBILE,TATAMOTORS,80.9,-3.57568534
05-05-2020,METALS,TATASTEEL,272.65,-0.347222222
05-05-2020,IT,TCS,1932.75,0.119143205
05-05-2020,IT,TECHM,499.95,-0.497561946
05-05-2020,CONSUMER GOODS,TITAN,886.95,-0.549419745
05-05-2020,CEMENT & CEMENT PRODUCTS,ULTRACEMCO,3284.35,-1.889413311
05-05-2020,FERTILISERS & PESTICIDES,UPL,387.05,0.428126622
05-05-2020,METALS,VEDL,78.9,-1.313320826
05-05-2020,IT,WIPRO,184.2,-3.078137332
05-05-2020,MEDIA & ENTERTAINMENT,ZEEL,148.4,1.366120219
06-05-2020,SERVICES,ADANIPORTS,270.15,1.426694199
06-05-2020,CONSUMER GOODS,ASIANPAINT,1610.65,-3.945014313
06-05-2020,FINANCIAL SERVICES,AXISBANK,388.85,-3.4632572
06-05-2020,AUTOMOBILE,BAJAJ-AUTO,2471.85,1.216141515
06-05-2020,FINANCIAL SERVICES,BAJAJFINSV,4692.9,-1.458313648
06-05-2020,FINANCIAL SERVICES,BAJFINANCE,2106.25,1.279061381
06-05-2020,TELECOM,BHARTIARTL,546,2.535211268
06-05-2020,OIL & GAS,BPCL,343.8,-1.178499569
06-05-2020,CONSUMER GOODS,BRITANNIA,2987.7,-3.402900144
06-05-2020,PHARMA,CIPLA,591.75,-3.285118902
06-05-2020,METALS,COALINDIA,133.75,-6.008432888
06-05-2020,PHARMA,DRREDDY,3852.5,-2.19598883
06-05-2020,AUTOMOBILE,EICHERMOT,13859.95,0.808434191
06-05-2020,OIL & GAS,GAIL,94.7,1.28342246
06-05-2020,CEMENT & CEMENT PRODUCTS,GRASIM,482.4,0.699300699
06-05-2020,IT,HCLTECH,519.1,0.94312105
06-05-2020,FINANCIAL SERVICES,HDFC,1732.15,0.452344362
06-05-2020,FINANCIAL SERVICES,HDFCBANK,946.4,2.535211268
06-05-2020,AUTOMOBILE,HEROMOTOCO,2026.75,1.302044285
06-05-2020,METALS,HINDALCO,118.6,2.329594478
06-05-2020,CONSUMER GOODS,HINDUNILVR,2010.2,-3.478741027
06-05-2020,FINANCIAL SERVICES,ICICIBANK,341.4,0.990977666
06-05-2020,FINANCIAL SERVICES,INDUSINDBK,425.5,0.579127763
06-05-2020,TELECOM,INFRATEL,160.9,-4.510385757
06-05-2020,IT,INFY,665.9,-1.157785364
06-05-2020,OIL & GAS,IOC,76.55,-4.012539185
06-05-2020,CONSUMER GOODS,ITC,163.9,-5.83165757
06-05-2020,METALS,JSWSTEEL,165.8,1.375726078
06-05-2020,FINANCIAL SERVICES,KOTAKBANK,1245.95,-2.492565347
06-05-2020,CONSTRUCTION,LT,837.3,-1.569388115
06-05-2020,AUTOMOBILE,M&M,387.15,8.43019185
06-05-2020,AUTOMOBILE,MARUTI,4843.25,-0.88103473
06-05-2020,CONSUMER GOODS,NESTLEIND,17309.3,-0.842954896
06-05-2020,POWER,NTPC,94.7,3.553854565
06-05-2020,OIL & GAS,ONGC,79.25,3.527106466
06-05-2020,POWER,POWERGRID,165.4,3.992455203
06-05-2020,OIL & GAS,RELIANCE,1460.75,1.780239688
06-05-2020,FINANCIAL SERVICES,SBIN,171.1,-4.333240145
06-05-2020,CEMENT & CEMENT PRODUCTS,SHREECEM,18741.9,0.627651007
06-05-2020,PHARMA,SUNPHARMA,454.4,-2.374046622
06-05-2020,AUTOMOBILE,TATAMOTORS,83.2,-0.834326579
06-05-2020,METALS,TATASTEEL,277.75,1.516812865
06-05-2020,IT,TCS,1903.6,-1.390867414
06-05-2020,IT,TECHM,506.85,0.875709026
06-05-2020,CONSUMER GOODS,TITAN,876.45,-1.726747771
06-05-2020,CEMENT & CEMENT PRODUCTS,ULTRACEMCO,3324.4,-0.693033815
06-05-2020,FERTILISERS & PESTICIDES,UPL,379,-1.660612351
06-05-2020,METALS,VEDL,79.45,-0.625390869
06-05-2020,IT,WIPRO,187.05,-1.578531965
06-05-2020,MEDIA & ENTERTAINMENT,ZEEL,152.65,4.269125683
07-05-2020,SERVICES,ADANIPORTS,282.4,6.025905763
07-05-2020,CONSUMER GOODS,ASIANPAINT,1594.3,-4.920085878
07-05-2020,FINANCIAL SERVICES,AXISBANK,397.35,-1.353028798
07-05-2020,AUTOMOBILE,BAJAJ-AUTO,2406.55,-1.457731917
07-05-2020,FINANCIAL SERVICES,BAJAJFINSV,4673.4,-1.867775363
07-05-2020,FINANCIAL SERVICES,BAJFINANCE,2060.55,-0.918423773
07-05-2020,TELECOM,BHARTIARTL,528.05,-0.835680751
07-05-2020,OIL & GAS,BPCL,329.55,-5.274504168
07-05-2020,CONSUMER GOODS,BRITANNIA,2915.35,-5.742090884
07-05-2020,PHARMA,CIPLA,589.55,-3.644684155
07-05-2020,METALS,COALINDIA,130.8,-8.08151792
07-05-2020,PHARMA,DRREDDY,3837.65,-2.572988068
07-05-2020,AUTOMOBILE,EICHERMOT,14010.5,1.903438846
07-05-2020,OIL & GAS,GAIL,91.5,-2.139037433
07-05-2020,CEMENT & CEMENT PRODUCTS,GRASIM,485.2,1.283790836
07-05-2020,IT,HCLTECH,511.75,-0.486144871
07-05-2020,FINANCIAL SERVICES,HDFC,1703.9,-1.185954128
07-05-2020,FINANCIAL SERVICES,HDFCBANK,925,0.216684724
07-05-2020,AUTOMOBILE,HEROMOTOCO,2000.3,-0.019993002
07-05-2020,METALS,HINDALCO,117.65,1.509922347
07-05-2020,CONSUMER GOODS,HINDUNILVR,1992.05,-4.350226874
